region	tags	indicator	Всего / 3	Из графы 3 прошли за последние три года: / повышение квалифика-ции и (или) профессио-нальную перепод-готовку / 4	Из графы 3 прошли за последние три года: / из них: / по профилю педагогиче-ской деятельнос-ти / 5	Из графы 3 прошли за последние три года: / из них: / по использова-нию информа-ционных и коммуника-ционных технологий / 6	Из графы 3 прошли за последние три года: / из них: / в форме стажировки / 7	Из графы 3 прошли за последние три года: / в том числе (из гр. 7) в ведущих российских и зарубежных университе- тах и научных центрах / 8	Из графы 3 прошли за последние три года: / из них (из гр. 8) в зарубежных университе-тах и научных центрах / 9	Из граф 4-8 прошли в предыдущем учебном году: / повышение квалифика- ции и (или) профессио-нальную перепод-готовку (из гр. 4) / 10	Из граф 4-8 прошли в предыдущем учебном году: / из них: / по профилю педагогиче- ской деятельнос-ти (из гр. 5) / 11	Из граф 4-8 прошли в предыдущем учебном году: / из них: / по использова-нию информа-ционных и коммуника-ционных технологий (из гр. 6) / 12	Из граф 4-8 прошли в предыдущем учебном году: / из них: / в форме стажировки (из гр. 7) / 13	Из граф 4-8 прошли в предыдущем учебном году: / в том числе (из гр. 8) в ведущих российских и зарубежных университе- тах и научных центрах / 14	Из граф 4-8 прошли в предыдущем учебном году: / из них (из гр. 9) в зарубежных университе-тах и научных центрах / 15
Алтайский край	персонал; Частные	квалифицированные рабочие:  монтажники и ремонтники электронного и  телекоммуникационного оборудования / 31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	президент / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	преподаватели / 15	3.0	3.0	1.0	3.0	0.0	0.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	проректоры / 04	3.0	3.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	профессора / 12	2.0	2.0	2.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	специалисты высшего уровня квалификации:  разработчики и аналитики программного обеспечения  и приложений / 23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	специалисты по базам данных и сетям / 24	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	специалисты среднего уровня квалификации:  специалисты-техники по эксплуатации ИКТ и по  поддержке пользователей ИКТ / 28	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	специалисты-техники по телекоммуникациям и  радиовещанию / 29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	старшие преподаватели / 14	14.0	13.0	5.0	12.0	0.0	0.0	0.0	13.0	5.0	12.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	техники-электроники / 30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 19	65.0	14.0	1.0	11.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Научные работники / 18	33.0	6.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Педагогические работники - всего (сумма строк 07,17): / 06	775.0	719.0	444.0	530.0	16.0	5.0	5.0	503.0	218.0	271.0	4.0	4.0	4.0
Амурская область	персонал; Государственные, Муниципальные	Руководящий персонал - всего / 01	117.0	59.0	16.0	14.0	0.0	0.0	0.0	44.0	8.0	8.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Специалисты по информационным и коммуникационным технологиям – всего (сумма строк 22 - 31) / 21	47.0	12.0	2.0	8.0	0.0	0.0	0.0	9.0	0.0	7.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Учебно-вспомогательный персонал / 20	270.0	96.0	63.0	16.0	0.0	0.0	0.0	43.0	15.0	6.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	ассистенты / 16	75.0	67.0	36.0	66.0	0.0	0.0	0.0	65.0	36.0	64.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	в том числе:  руководители служб и подразделений в  сфере информационно-коммуникационных  технологий / 22	6.0	5.0	1.0	4.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	в том числе: деканы факультетов / 09	23.0	23.0	17.0	16.0	1.0	1.0	1.0	19.0	8.0	5.0	1.0	1.0	1.0
Амурская область	персонал; Государственные, Муниципальные	в том числе: профессорско-преподавательский  состав - всего: / 07	726.0	685.0	411.0	504.0	5.0	5.0	5.0	491.0	216.0	261.0	4.0	4.0	4.0
Амурская область	персонал; Государственные, Муниципальные	графические и мультимедийные дизайнеры / 27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	директор филиала / 05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	директора институтов / 11	2.0	2.0	2.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	доценты / 13	351.0	329.0	187.0	231.0	3.0	3.0	3.0	206.0	72.0	90.0	2.0	2.0	2.0
Амурская область	персонал; Государственные, Муниципальные	заведующие кафедрами / 10	65.0	65.0	45.0	52.0	0.0	0.0	0.0	53.0	26.0	31.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	из них:  ректор / 02	4.0	4.0	3.0	3.0	0.0	0.0	0.0	4.0	2.0	2.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	из них: профессорско-преподавательский состав, осуществляющий  образовательную деятельность по образовательным программам высшего образования - программам бакалавриата,  специалитета, магистратуры (сумма строк 09-16) / 08	715.0	674.0	403.0	493.0	5.0	5.0	5.0	480.0	208.0	250.0	4.0	4.0	4.0
Амурская область	персонал; Государственные, Муниципальные	инженеры по телекоммуникациям / 26	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	инженеры-электроники / 25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	иные педагогические работники / 17	49.0	34.0	33.0	26.0	11.0	0.0	0.0	12.0	2.0	10.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	квалифицированные рабочие:  монтажники и ремонтники электронного и  телекоммуникационного оборудования / 31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	президент / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	преподаватели / 15	9.0	9.0	4.0	6.0	0.0	0.0	0.0	8.0	4.0	5.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	проректоры / 04	14.0	11.0	5.0	5.0	0.0	0.0	0.0	9.0	3.0	5.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	профессора / 12	57.0	55.0	37.0	49.0	0.0	0.0	0.0	33.0	17.0	23.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации:  разработчики и аналитики программного обеспечения  и приложений / 23	11.0	3.0	1.0	3.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 24	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации:  специалисты-техники по эксплуатации ИКТ и по  поддержке пользователей ИКТ / 28	17.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и  радиовещанию / 29	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	старшие преподаватели / 14	133.0	124.0	75.0	72.0	1.0	1.0	1.0	94.0	43.0	32.0	1.0	1.0	1.0
Амурская область	персонал; Государственные, Муниципальные	техники-электроники / 30	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Инженерно-технический персонал / 19	107.0	19.0	9.0	11.0	0.0	0.0	0.0	10.0	7.0	3.0	0.0	0.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Научные работники / 18	37.0	16.0	4.0	11.0	0.0	0.0	0.0	5.0	2.0	2.0	0.0	0.0	0.0
