region	tags	indicator	Код: да - 1, нет - 2 / 3
Воронежская область	персонал; Государственные, Муниципальные	ученый совет / 05	16.0
Воронежская область	персонал; Частные	Коллегиальные органы управления / 03	7.0
Воронежская область	персонал; Частные	Лицензия на осуществление образовательной деятельности / 01	7.0
Воронежская область	персонал; Частные	Профессиональные союзы работников / 12	0.0
Воронежская область	персонал; Частные	Профессиональные союзы студентов / 11	0.0
Воронежская область	персонал; Частные	Свидетельство о государственной аккредитации образовательной деятельности / 02	5.0
Воронежская область	персонал; Частные	Студенческие советы / 10	7.0
Воронежская область	персонал; Частные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	6.0
Воронежская область	персонал; Частные	другие / 09	5.0
Воронежская область	персонал; Частные	из строки 03 – с участием общественности (работодателей) / 13	4.0
Воронежская область	персонал; Частные	наблюдательный совет / 08	0.0
Воронежская область	персонал; Частные	попечительский совет / 06	0.0
Воронежская область	персонал; Частные	управляющий совет / 07	0.0
Воронежская область	персонал; Частные	ученый совет / 05	6.0
Еврейская автономная область	персонал; Государственные, Муниципальные	Коллегиальные органы управления / 03	1.0
Еврейская автономная область	персонал; Государственные, Муниципальные	Лицензия на осуществление образовательной деятельности / 01	1.0
Еврейская автономная область	персонал; Государственные, Муниципальные	Профессиональные союзы работников / 12	1.0
Еврейская автономная область	персонал; Государственные, Муниципальные	Профессиональные союзы студентов / 11	1.0
Еврейская автономная область	персонал; Государственные, Муниципальные	Свидетельство о государственной аккредитации образовательной деятельности / 02	1.0
Еврейская автономная область	персонал; Государственные, Муниципальные	Студенческие советы / 10	1.0
Еврейская автономная область	персонал; Государственные, Муниципальные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	1.0
Еврейская автономная область	персонал; Государственные, Муниципальные	другие / 09	0.0
Еврейская автономная область	персонал; Государственные, Муниципальные	из строки 03 – с участием общественности (работодателей) / 13	1.0
Еврейская автономная область	персонал; Государственные, Муниципальные	наблюдательный совет / 08	0.0
Еврейская автономная область	персонал; Государственные, Муниципальные	попечительский совет / 06	1.0
Еврейская автономная область	персонал; Государственные, Муниципальные	управляющий совет / 07	0.0
Еврейская автономная область	персонал; Государственные, Муниципальные	ученый совет / 05	1.0
Забайкальский край	персонал; Государственные, Муниципальные	Коллегиальные органы управления / 03	5.0
Забайкальский край	персонал; Государственные, Муниципальные	Лицензия на осуществление образовательной деятельности / 01	5.0
Забайкальский край	персонал; Государственные, Муниципальные	Профессиональные союзы работников / 12	5.0
Забайкальский край	персонал; Государственные, Муниципальные	Профессиональные союзы студентов / 11	4.0
Забайкальский край	персонал; Государственные, Муниципальные	Свидетельство о государственной аккредитации образовательной деятельности / 02	5.0
Забайкальский край	персонал; Государственные, Муниципальные	Студенческие советы / 10	5.0
Забайкальский край	персонал; Государственные, Муниципальные	в том числе: общее собрание (конференция) работников и  обучающихся образовательной организации / 04	4.0
Забайкальский край	персонал; Государственные, Муниципальные	другие / 09	2.0
