region	tags	indicator	Всего (сумма граф 4-9) / 3	из гр. 3 - имеют общий стаж работы, лет / до 3 / 4	из гр. 3 - имеют общий стаж работы, лет / от 3 до 5 / 5	из гр. 3 - имеют общий стаж работы, лет / от 5 до 10 / 6	из гр. 3 - имеют общий стаж работы, лет / от 10 до 15 / 7	из гр. 3 - имеют общий стаж работы, лет / от 15 до 20 / 8	из гр. 3 - имеют общий стаж работы, лет / 20 и более / 9	Из гр. 3 имеют педагогический стаж работы, всего (сумма гр.11-16) / 10	из гр. 10 - имеют педагогический стаж работы, лет / до 3 / 11	из гр. 10 - имеют педагогический стаж работы, лет / от 3 до 5 / 12	из гр. 10 - имеют педагогический стаж работы, лет / от 5 до 10 / 13	из гр. 10 - имеют педагогический стаж работы, лет / от 10 до 15 / 14	из гр. 10 - имеют педагогический стаж работы, лет / от 15 до 20 / 15	из гр. 10 - имеют педагогический стаж работы, лет / 20 и более / 16	Не имеют педагоги-ческого стажа работы / 17
Алтайский край	персонал; Государственные, Муниципальные	педагогические работники - всего (сумма строк 08,18): / 07	2317.0	45.0	51.0	165.0	194.0	289.0	1573.0	2312.0	121.0	115.0	209.0	234.0	336.0	1297.0	5.0
Алтайский край	персонал; Государственные, Муниципальные	президент / 04	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	преподаватели / 16	74.0	12.0	20.0	21.0	9.0	3.0	9.0	73.0	40.0	17.0	6.0	8.0	1.0	1.0	1.0
Алтайский край	персонал; Государственные, Муниципальные	производственный персонал / 22	20.0	0.0	1.0	3.0	2.0	3.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
Алтайский край	персонал; Государственные, Муниципальные	проректоры / 05	34.0	0.0	0.0	0.0	2.0	5.0	27.0	24.0	0.0	1.0	2.0	3.0	2.0	16.0	10.0
Алтайский край	персонал; Государственные, Муниципальные	профессора / 13	205.0	0.0	0.0	0.0	3.0	6.0	196.0	205.0	0.0	0.0	4.0	6.0	12.0	183.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты высшего уровня квалификации: разработчики и аналитики программного обеспечения  и приложений / 27	53.0	14.0	7.0	4.0	7.0	5.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты по базам данных и сетям / 28	17.0	1.0	1.0	5.0	3.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты среднего уровня квалификации: специалисты-техники по эксплуатации ИКТ и по поддержке  пользователей ИКТ / 32	36.0	4.0	8.0	10.0	3.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	специалисты-техники по телекоммуникациям и радиовещанию / 33	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	старшие преподаватели / 15	340.0	0.0	5.0	71.0	59.0	44.0	161.0	340.0	18.0	39.0	81.0	45.0	41.0	116.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	техники-электроники / 34	7.0	1.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	учебно-вспомогательный персонал / 23	1005.0	169.0	56.0	104.0	79.0	98.0	499.0	113.0	25.0	15.0	20.0	14.0	10.0	29.0	892.0
Алтайский край	персонал; Частные	Из общей численности работников (стр. 01) специалисты по информационным и коммуникационным технологиям – всего (сумма строк 26 - 35) / 25	3.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Численность работников - всего (сумма строк 02, 07, 19-24) / 01	83.0	7.0	5.0	6.0	11.0	10.0	44.0	58.0	8.0	5.0	9.0	8.0	12.0	16.0	25.0
Алтайский край	персонал; Частные	административно-хозяйственный персонал / 21	7.0	0.0	1.0	1.0	0.0	1.0	4.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	4.0
Алтайский край	персонал; Частные	ассистенты / 17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	в том числе:  профессорско-преподавательский состав - всего: / 08	37.0	3.0	1.0	3.0	5.0	6.0	19.0	37.0	4.0	2.0	6.0	6.0	8.0	11.0	0.0
Алтайский край	персонал; Частные	в том числе:  руководители служб и подразделений в сфере  информационно-коммуникационных технологий / 26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	в том числе:  руководящий персонал - всего / 02	12.0	0.0	0.0	0.0	2.0	2.0	8.0	10.0	0.0	0.0	2.0	2.0	3.0	3.0	2.0
Алтайский край	персонал; Частные	в том числе: деканы факультетов / 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	графические и мультимедийные дизайнеры / 31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	директор филиала / 06	2.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Алтайский край	персонал; Частные	директора институтов / 12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	доценты / 14	14.0	0.0	0.0	1.0	3.0	2.0	8.0	14.0	1.0	0.0	2.0	3.0	4.0	4.0	0.0
Алтайский край	персонал; Частные	заведующие кафедрами / 11	4.0	0.0	0.0	0.0	0.0	1.0	3.0	4.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0
Алтайский край	персонал; Частные	из них профессорско-преподавательский состав,  осуществляющий образовательную деятельность  по образовательным программам высшего образования -  программам бакалавриата, специалитета, магистратуры  (сумма строк 10-17) / 09	37.0	3.0	1.0	3.0	5.0	6.0	19.0	37.0	4.0	2.0	6.0	6.0	8.0	11.0	0.0
